country,regions
El Salvador,"Ahuachapán Department, Cerro El Tigre, La Unión Department, Northwest El Salvador, Northwestern El Salvador, Santiago De María, Southeastern El Salvador, Volcán Santa Ana, Fraijanes, La Libertad, Ahuachapan, Alotepec-Metapan Region, Apaneca-Ilamatepec, Chapada Diamantina Region, Chalatenango, Chalatenango Department, Chalatenango Growing Region, El Boquerón Growing Region, El Salvador, El Diamante, El Soccoro, El Socorro, Masaguara, Metapan, Tecapa Chinameca Growing Region, Santa Ana Department, Santa Ana Region, Suchitan, San Augustín]]]"
Costa Rica,"Alajuela Province, Brunca Region, Buenos Aires, Cartago Province, Central Costa Rica, Chirripo Region, Chirripó, Costa Rica, Dota, El Guarco, Monte Verde, Monteverde, Puntarenas Province, Southern Costa Rica, Tobosi, Turrubares, Villa Rica, Villa Rica District, Rosario De Desamparados, Carrillos Alto De Poás, San Vito, Alajuela, Calzontes Arriba, Cañas Verdes, Cantón El Tunel, Canton De Desamparados, Canton Lomas De San Marcelino, Central Valley, Coto Brus, Llano Bonito, Llano Bonito De Narajo, Lourdes De Naranjo, Naranjo, Potrerillo Arriba, Poás Volcano Region, Puntarenas, Sabanilla De Alajuela, Sabanilla De Alajuela Growing Region, San Isidro, San José, Santa Maria De Dota, Tarrazu, Tarrazú, Tarrazú Growing Region, West Valley, Los Naranjos, Tobosi]], Biolley, Alto Quiel, Wood Valley]"
Guatemala,"Alta Verapaz, Alta Verapaz Department, Central Guatemala, Coatepeque, Coban, Guatemala, Guatemala Department, Huehuetenango Department, Jalapa, Lake Amatitlán, Northern Guatemala, Region Concepción Huista, San Marcos Department, Santa Rosa, Sierra De Las Minas, South-Central Guatemala, Acatenango, Alotenango, Antigua, Antigua Growing Region, Atitlán Growing Region, Chimaltenango, Chimaltenango Department, Cobán, Cobán Growing Region, Concepción Huista, El Progreso, El Progreso Department, Lake Atitlán, Palencia, San Cristobal Acasaguastlán, San Cristobal Cucho, San Juan La Laguna, San Lucas Tolimán, San Martin Jilotepeque, Sololá, Tojquia, Villa Canales, Quiché, Los Altos, Santa Rosa]], Tore Village, Horcheta, La Providencia, Las Flores, Nueva Suiza, Los Planes, Chito]"
Brazil,"Alto Caparaó, Bahia State, Chapada Diamantina Growing Region, Ibicoara Municipality, Ipanema, Mogiana, Santa Maria, Serra Da Mantiqueira, Sul De Minas, Sul De Minas Growing Region, Bahia, Carmo De Minas Growing Region, Campos Alto District, Cerrado Growing Region, Cerrado Mineiro, Mantiqueira De Minas Growing Region, Matas De Minas Growing Region, Minas Gerais State, Southern Minas Gerais State, Eastern Minas Gerais State, Northeastern Minas Gerais State, Mogiana Growing Region, Sao Paulo State, São Paulo State, São Sebastião da Grama, Vale Da Grama, Vale De Grama, Santo Antônio Do Amparo, Brazil, Brazil And Four Other Origins, Serra Da Mantiqueira]]]"
Peru,"Amaybamba, Amazonas Region, Cusco Region, Huabal, Huarango, Jaen, Junin Region, Llayla District, Northern Peru, Oxapampa Province, San Ignacio Province, Sandia Valley, Satipo Province, Tabaconas, Pasto, Piendamó, Cajamarca Region, Chirinos, Junin, Junín Province, Jaén, Jaén Province, Pasco Department, Pasco Growing Region, Puno, Puna District, Puna Growing Region, Pacaybamba Growing Region, Peru, Trujillo, Utcubamba Province, Pichincha Province]], San Ignacio, Sama, San Lorenzo, La Coipa]"
Ethiopia,"Ana Sora District, Bensa District, Borena Hagermariam District, Bule Hora District, Bure Woreda, Ethiopia, Guji Zone, Oromia State, Snnp Region, South-Central Ethiopia, Southern Ethiopia, Southwest Ethiopia, Southwestern Ethiopia, Agaro District, Agaro Gera, Ainantu District, Aleta Wondo, Amhara Region, Arbegona, Bench Maji Zone, Bench-Maji Zone, Bita Genet District, Chelchele, Gedeb District, Gedeo Zone, Gerbicho Rogicha, Hambela Wamena District, Harar Growing Region, Hayisa Village, Illubabor Zone, Jimma, Jimma Zone, Kebele Buku Sayisa, Keffa Zone, Kochere, Kochere District, Kochere Woreda, Keramo Village, Limu Woreda, Nensebo Woreda, Ochere Woreda, Odo Shakiso District, Oromia, Oromia Growing Region, Oromia Region, Shakiso District, Sidama Region, Sidama (Also Sidamo) Growing Region, Sidama (Also Sidamo) Region, Sidama Growing Region, Sidamo, Sidamo Zone, Uraga, Uraga District, Worka Chelbessa, Worka-Sakaro, Yirgacheffe, Yirgacheffe Growing Region]], Alaka District, Bona Zuria]"
Colombia,"Armenia, Caldas Department, Center-West Colombia, Inza, Northwest Colombia, San Agustín, Southern Colombia, Southwestern Colombia, Southwestern Colombianar, Vereda, Vereda Santa Rita, Acevedo, Algeciras, Antioquia Department, Aratoca, Buesaco, Caicedo, Caicedonia, Cauca, Cauca Department, Cundinamarca, Cundinamarca Department, Gaitania, Giraldo, Huila Department, La Convención Province, Liboriana Valley, Manizales, Nariño Department, Narino Department, Palestina Region, Paéz, Paez Region, Pitalito, Pitalito Growing Region, Pitalito Municipality, Pitalito-Bruselas, Planadas, Piedra Candela, Quindío Department, Risaralda Department, Salgar Municipality, Suaza, Tolima Department, Tolima, Urrao, Valle Del Cauca Department, Valle Del Cauca, Valle De Cauca Department, Valle De Cauca, Valle Del Cauca Growing Region, Santander, Santander Department, Colombia, Copey District, Neira, Pasto]], Jaramillo, Belis, Alto Jaramillo, La Mesa, Sevilla, Conganama, Tres Cruces, Congonama]"
Indonesia,"Bali, Flores And Sumatra, Gayo, Indonesia, Kerinci, Mount Kerinci Highlands, North Sumatra Province, South-Central Sulawesi, Aceh Province, Aceh, Aceh Tengah, Aceh Growing Region, Gayo (Also Aceh) Growing Region, Lintong Growing Region, Lintongnihuta, Mandheling Growing Region, Sumatra, Northern Sumatra, Pematang Purba, Kerinci Highlands, Gunung Tujuh, Java, Jambi Province, Simalungun, Simalungun Regency, Toraja Growing Region, Flores Island, Kerinci]], Yeri Growing Region, Pantan Musara]"
Yemen,"Bani Matar, Bani Matar Growing Region, Central Plateau, North-Central Yemen, ""Sadah Governorate"", ""Sanaa Governorate"", Yemen, Haraz, Al Hayma District, Al Hayma Region, Al Mahjr, Al Mashtal Ul Burhani, Al Wadi Region, Al-Durrar, Al-Haimah, Central Yemen, Haraz Growing Region, Jabal Haraz, Sana’A Growing Region, Sharqi]], ""Sadah Governorate"", Banti Nenga, ""Sanaa Governorate"", Hayma Dakhiliya Growing Region, Sharqi]"
Nepal,"Bhirkune Village, Nuwakot District], Nuwakot District]"
